source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
6944962925824,44.975821556411596,0.1878141021101549,0.9904046280949322,0.019033762,1.0656872,14.281499,14.667728,13.732877,0.93485165
8418136080384,45.03740766252847,0.26161351973494235,1.8108672639651335,0.13945648,0.9869831,17.991674,19.452847,16.824305,2.628542
8834748568832,45.18404404923109,0.1631799906770445,2.33835337115279,0.08499445,0.9355953,17.006292,18.138699,15.984501,2.1541977
12678743468032,45.27894754841632,0.31832267781095724,-0.013654325202619184,0.62891996,0.9141463,19.807634,20.300837,19.110968,1.1898689
13125420068480,45.25832662300932,0.3549201788472024,1.5438732402537922,0.1461174,1.2948027,17.419203,18.444056,16.437883,2.0061722
13297218926720,45.08915215112916,0.25320005879893126,,,,20.77678,20.963108,20.563698,0.39941025
15633681152896,45.20138402549399,0.3420899576044092,1.887225387951146,0.3567213,0.96840054,19.402739,20.821661,18.230522,2.5911388
16973710962944,45.118526522847404,0.3928745407485507,0.6027768315885309,0.088842735,0.9144321,17.310637,17.813059,16.661827,1.1512318
17489108656768,45.185750499449135,0.4214623002377533,,,,20.915045,21.87513,19.825697,2.0494328
17527761792640,45.169726835929154,0.4299993351008774,1.6056347795118109,0.7071493,1.1088762,19.860762,21.110682,18.674185,2.4364967
17940079207040,44.79582905075175,0.18401691951099214,-0.1855605902460506,0.13233049,2.9495065,15.690791,15.927749,15.081153,0.84659576
19211389524736,44.78104538434717,0.25744587638609795,0.369343800520417,0.041127276,0.92439944,15.887926,16.193668,15.417393,0.77627563
19275813400064,44.83960671799578,0.24147994983263507,1.2402247485612865,0.18096979,0.9077379,18.628433,19.787241,17.55201,2.2352314
19619410717184,44.80079827033112,0.2638630028880275,1.461487577921832,0.27374986,0.9632657,19.236643,20.724897,17.995787,2.7291107
20890721108864,44.87014647842298,0.26878411355494003,,,,21.470947,20.933674,18.955053,1.9786205
21479132452992,44.9198738547267,0.3226131614385278,,,,20.95795,19.696768,18.12296,1.5738087
23570780596096,44.67961530849065,0.3204474991742503,0.5352988627711368,0.22266407,1.0998591,18.76739,19.659044,18.023153,1.635891
23708219584640,44.71900744335954,0.31621289748805953,0.8397833919750641,0.6824084,1.0021197,20.314657,21.641685,19.114454,2.5272312
23776939062016,44.76028593063881,0.3288006216547283,,,,21.188019,21.186224,19.148836,2.0373878
24051816970496,44.737261906692446,0.348514746658518,2.55757274239091,0.8352622,1.0700375,20.462078,21.449774,19.276756,2.1730175
24429774175360,44.846602527670704,0.3426265705655634,,,,20.696573,19.443945,17.663382,1.7805634
24434069751936,44.838398036631084,0.3447788094832777,1.1269241746805456,0.019086361,0.9925725,13.81266,14.170686,13.288576,0.88210964
25735444712960,44.79304909714155,0.3872751829051134,,,,20.901426,20.734106,19.614017,1.1200886
26834955821312,45.010276577015645,0.3511012847339119,5.95379376226587,0.014540097,0.8681194,10.0179405,10.277604,9.595257,0.6823473
27487790891648,44.96118203982464,0.3464466157342582,0.23444290155831873,0.2512501,1.1048611,18.879879,19.443031,18.207853,1.235178
28965259659392,45.057153913739576,0.4206205955635126,1.4952352189754707,0.12161147,1.013762,17.751652,19.016872,16.66494,2.3519325
29038274687488,45.102539187902224,0.4291083746867743,1.5802343119294826,0.072798245,1.0867882,16.773876,17.740667,15.804584,1.9360838
30580167383424,45.06471043807557,0.4852997915674826,0.3278158098639208,0.13654126,1.0392005,17.898233,18.338614,17.301275,1.0373383
31267362132736,44.904652208596936,0.4310386659182374,1.2999402462235632,0.21244232,1.08657,18.584211,19.833897,17.554274,2.279623
31404802565632,44.94294424855992,0.43107996561354134,,,,21.10383,21.026352,19.810108,1.2162437
31817117956096,44.95193113237289,0.46288571276457297,1.8327152049315758,0.29428825,1.178102,18.768148,20.143854,17.63851,2.5053444
33706905097856,45.08053809384001,0.5257313287088474,1.7464326313831326,0.23390977,0.8890382,18.580967,19.600822,17.493828,2.1069946
34978214143104,44.962813951452276,0.5539187754585979,-0.8954949730209667,1.8127434,1.1168934,20.709225,21.149778,20.492292,0.65748596
35390530561152,45.35917106034203,0.33985680003104657,,,,21.508137,20.864677,19.125147,1.7395306
